650, -200, 120, 765, -200, 60
765, -200, 60, 880, -200, 40
880, -200, 40, 995, -200, 60
995, -200, 60, 1110, -200, 20
1110, -200, 20, 1225, -200, -20
1225, -200, -20, 1340, -200, -80
1340, -200, -80, 1455, -200, -120
650, -200, 120, 650, -85, 40
765, -200, 60, 765, -85, 20
880, -200, 40, 880, -85, 30
995, -200, 60, 995, -85, 30
1110, -200, 20, 1110, -85, -10
1225, -200, -20, 1225, -85, -40
1340, -200, -80, 1340, -85, -90
1455, -200, -120, 1455, -85, -110


650, -85, 40, 765, -85, 20 
765, -85, 20, 880, -85, 30
880, -85, 30, 995, -85, 30
995, -85, 30, 1110, -85, -10
1110, -85, -10, 1225, -85, -40
1225, -85, -40, 1340, -85, -90
1340, -85, -90, 1455, -85, -110
650, -85, 40, 650, 30, 20
765, -85, 20, 765, 30, 30
880, -85, 30, 880, 30, 10
995, -85, 30, 995, 30, 06
1110, -85, -10, 1110, 30, -6
1225, -85, -40, 1225, 30, -20
1340, -85, -90, 1340, 30, -26
1455, -85, -110, 1455, 30, -90



650, 30, 20, 765, 30, 30 
765, 30, 30, 880, 30, 10
880, 30, 10, 995, 30, 06 
995, 30, 06, 1110, 30, -6
1110, 30, -6, 1225, 30, -20
1225, 30, -20, 1340, 30, -26
1340, 30, -26, 1455, 30, -90
650, 30, 20, 650, 145, 00
765, 30, 30, 765, 145, -6
880, 30, 10, 880, 145, 10
995, 30, 06, 995, 145, 10 
1110, 30, -6, 1110, 145, -6
1225, 30, -20, 1225, 145, -20
1340, 30, -26, 1340, 145, -20
1455, 30, -90, 1455, 145, -40


650, 145, 0, 765, 145, -6 
765, 145, -6, 880, 145, 10
880, 145, 10, 995, 145, 10 
995, 145, 10, 1110, 145, -6
1110, 145, -6, 1225, 145, -20
1225, 145, -20, 1340, 145, -20
1340, 145, -20, 1455, 145, -40
650, 145, 00, 650, 260, -20
765, 145, -6, 765, 260, -20
880, 145, 10, 880, 260, -18
995, 145, 10, 995, 260, -14 
1110, 145, -6, 1110, 260, -40
1225, 145, -20, 1225, 260, -20
1340, 145, -20, 1340, 260, -20
1455, 145, -40, 1455, 260, -30


650, 260, -20, 765, 260, -20 
765, 260, -20, 880, 260, -18 
880, 260, -18, 995, 260, -14 
995, 260, -14, 1110, 260, -40
1110, 260, -40, 1225, 260, -20
1225, 260, -20, 1340, 260, -20
1340, 260, -20, 1455, 260, -30
650, 260, -20, 650, 375, -10
765, 260, -20, 765, 375, -10
880, 260, -18, 880, 375, -10
995, 260, -14, 995, 375, -10 
1110, 260, -40, 1110, 375, -8
1225, 260, -20, 1225, 375, -20
1340, 260, -20, 1340, 375, -20
1455, 260, -30, 1455, 375, -30


650, 375, -10, 765, 375, -10 
765, 375, -10, 880, 375, -10 
880, 375, -10, 995, 375, -10 
995, 375, -10, 1110, 375, -8
1110, 375, -8, 1225, 375, -20
1225, 375, -20, 1340, 375, -20
1340, 375, -20, 1455, 375, -30
650, 375, -10, 650, 490, 20
765, 375, -10, 765, 490, 10
880, 375, -10, 880, 490, 10
995, 375, -10, 995, 490, 10 
1110, 375, -8, 1110, 490, 10 
1225, 375, -20, 1225, 490, 4
1340, 375, -20, 1340, 490, 10
1455, 375, -30, 1455, 490, -10


650, 490, 20, 765, 490, 10 
765, 490, 10, 880, 490, 10 
880, 490, 10, 995, 490, 10 
995, 490, 10, 1110, 490,10 
1110, 490, 10, 1225, 490, 4
1225, 490, 4, 1340, 490, 10
1340, 490, 10, 1455, 490, -10
650, 490, 20, 650, 605, 30
765, 490, 10, 765, 605, 24 
880, 490, 10, 880, 605, 24 
995, 490, 10, 995, 605, 22 
1110, 490, 10, 1110, 605, 20 
1225, 490, 4, 1225, 605, 18
1340, 490, 10, 1340, 605, 14
1455, 490, -10, 1455, 605, 16


650, 605, 30, 765, 605, 24 
765, 605, 24, 880, 605, 24 
880, 605, 24, 995, 605, 22 
995, 605, 22, 1110, 605, 20 
1110, 605, 20, 1225, 605, 18 
1225, 605, 18, 1340, 605, 14 
1340, 605, 14, 1455, 605, 16
